numCosts,numEffects,isGreen,typed,isBlue,isBlack,isColorless,cmc,isWhite,isRed,hasX,typedRatio,singleuse_isGreen,singleuse_typed,singleuse_isBlue,singleuse_isBlack,singleuse_isColorless,singleuse_cmc,singleuse_isWhite,singleuse_isRed,singleuse_hasX,singleuse_typedRatio,tripleuse_cmc,tripleuse_typed,tripleuse_typedRatio,abilityKey,keyword_keywordAbilityId,keyword_functionsInGraveyard,keyword_easesCosts,keyword_hasCost,keyword_isAdditionalCost,keyword_functionsInHand,keyword_isActivated,keyword_modifiedResolution,keyword_isAlternateCost,keyword_isEvasion,keyword_reducesCost,keyword_isContinuous,keyword_hasTargets,keyword_functionsInBattlefield,keyword_isTriggered,PLUS_PLUS,CREATURES_YOU_CONTROL,ENTERS_TAPPED,TAP,EXTRA_TURN,OTHER_COST,DEALS_DAMAGE,AT_UPKEEP,EXILE_CARD,CREATES_TOKEN,REGENERATE,WHENEVER_ATTACKS,PLUSX_COUNTERS
0,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,1.0,false,false,false,1.0,true,false,false,0.0,1.0,1.0,0.0,Animate Wall1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,Animate Wall2,15,null,null,null,null,null,null,null,null,null,null,true,true,true,null,,,,,,,,,,,,,
0,2,false,0.0,false,false,false,0.0,false,false,false,0.0,false,1.0,false,false,false,2.0,false,true,false,0.0,2.0,1.0,0.0,Kobold Drill Sergeant1,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,
0,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,2.0,false,false,false,0.0,2.0,0.0,0.0,Time Vault2,,,,,,,,,,,,,,,,,,true,,,,,,,,,,
1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,2.0,false,false,false,0.0,2.0,0.0,0.0,Time Vault1,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,
1,1,false,0.0,false,false,false,2.0,false,false,false,0.0,false,0.0,false,false,false,6.0,false,false,false,0.0,10.0,0.0,0.0,Masticore2,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,
0,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,1.0,false,false,false,0.0,1.0,0.0,0.0,Brass Man2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,2.0,false,false,false,0.0,2.0,0.0,0.0,Time Vault4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,4.0,false,false,false,0.0,4.0,0.0,0.0,Masticore1,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
2,0,false,0.0,false,false,false,1.0,false,false,false,0.0,false,0.0,false,false,false,2.0,false,false,false,0.0,4.0,0.0,0.0,Brass Man1,,,,,,,,,,,,,,,,,,,,,true,,true,,,,,
0,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,2.0,false,false,false,0.0,2.0,0.0,0.0,Time Vault3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,false,0.0,false,false,false,1.0,false,false,false,0.0,true,2.0,false,false,false,3.0,false,false,false,0.0,5.0,2.0,0.0,Night Soil1,,,,,,,,,,,,,,,,,,,,,true,,,true,true,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,Wall of Air2,19,null,null,null,null,null,null,null,null,true,null,true,null,true,null,,,,,,,,,,,,,
0,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,2.0,false,false,false,0.0,2.0,0.0,0.0,Hivestone1,,,,,,,,,,,,,,,,,true,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,Wall of Air1,13,null,null,null,null,null,null,null,null,null,null,true,null,true,null,,,,,,,,,,,,,
1,1,false,0.0,false,false,false,2.0,false,false,false,0.0,false,0.0,false,false,false,6.0,false,false,false,0.0,10.0,0.0,0.0,Masticore3,,,,,,,,,,,,,,,,,,,,,true,,,,,true,,
1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,5.0,true,false,false,0.0,5.0,2.0,0.0,Herald of War1,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true
0,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,5.0,true,false,false,0.0,5.0,2.0,0.0,Herald of War2,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
"",,,,,,,,,,,,,,,,,,,,,,,,,Herald of War3,19,null,null,null,null,null,null,null,null,true,null,true,null,true,null,,,,,,,,,,,,,
1,1,false,0.0,false,false,false,2.0,false,false,false,0.0,false,0.0,false,false,false,6.0,false,false,false,0.0,10.0,0.0,0.0,Rocket Launcher1,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,
